Nom_Lieu,Latitude,Longitude,Groupe,Visite,Description,Indications,Image_Mystère,Image_Lieu,GroupeEN,DescriptionEN,IndicationEN
Espace Jean Legendre (EJL),49.407139,2.808778,Loisir,0,Lieu culturel permettant d'aller profiter de divers spectacles souvent plus modernes que ce qui est proposé au Théâtre Impérial,"Ligne 5 arrêt Centre Culturel, 15 min à pied de BF",Parts_img/img_myst_1,Img_lieux/ejl,Leasure,Theater with multiples modern spectacles. Also used for graduation ceremonies.,"Bus 5, Centre Culturel stop, 15 min from Benjamin Franklin by feet."
Parc Songeons,49.418028,2.821,Loisir,0,Parc situé près de Benjamin Franklin et de l'Oise‚ il est en centre-ville ,"5min de BF à pied, en longeant l'Oise en direction du centre-ville",Parts_img/img_myst_2,Img_lieux/parc_songeons,Leasure,"Public garden near Benjamin Franklin and the Oise, near the city center","5min from Benjamin Franklin, longing Oise towards the city center."
Théâtre Impérial,49.419722,2.830389,Loisir,0,Lieu culturel à visiter‚ le théâtre propose diverses représentations dans un cadre avec une des meilleures acoustiques d'Europe. Lié au palais‚ le théâtre est aussi un lieu où il est possible de travailler en tant qu'ouvreur,Dans une rue sur la gauche du palais impérial. Marcher c'est bien aussi !,Parts_img/img_myst_3,Img_lieux/theatre_imperial,Leasure,"Cultural place to visit, this theater has one of the best acoustic in Europe. Linked to the Palais Imperial by a bridge, it is also a place where you can have a job as an opener.",On the street at the left of the Palais Imperial. Walking is good!
Palais Impérial,49.419306,2.831194,Loisir,0,Lieu culturel à visiter‚ datant de l'époque de Napoléon III‚ doté d'un jardin et d'un salon de thé‚ il est aussi près de l'avenue des Beaux Monts,"Depuis BF, en direction du centre ville, et continuer tout droit... tout droit... Pas d'arrêt de bus pratique, utilise tes petits petons ;)",Parts_img/img_myst_4,Img_lieux/palais_imperial,Leasure,"Cultural place to visit. Built for Napeleon the third, it has a garden and a tea house. It is also close to the Avenue des Beaux Monts.","From Benjamin Franklin, towards the city center and keep on going straight. There is no useful bus stop here, use your feet!"
Roberval,49.41225,2.812472,Résidence,0,Résidence étudiante située près de BF et de Auchan,"Depuis BF, partir en direction de l'église Saint-Germain, la résidence est à environ 7 minutes à pied ! Il est possible d'y accéder grâce aux bus, il suffit de prendre la ligne 5 et de s'arrêter à ""Résidence Universitaire""",Parts_img/img_myst_5,Img_lieux/roberval,Accomodation,Student residence close to Benjamin Franklin and Auchan.,
La Mare Gaudry,49.408944,2.813111,Résidence,0,Résidence étudiante située près du comissariat de police‚ de l'EJL et de la rue de Paris,"Depuis la rue de Paris (rue qui fait l'angle de Bureau Vallée), prendre la petite rue en face du coiffeur ""Jennif' Hair"". La résidence se trouve au bout de cette rue",Parts_img/img_myst_6,Img_lieux/mare_gaudry,Accomodation,"Student residence close to the police station, the Espace Jean Legendre and rue de Paris.",
La Ruche,49.418944,2.816333,Résidence,0,Résidence côté Margny‚ située de l'autre côté du pont Neuf‚ près de BF,"Depuis BF, il suffit de traverser le Pont-Neuf, la résidence se trouve de l'autre côté du petit-rond point sur la droite. Il est aussi possible d'y accéder en bus depuis la ligne 5 en prenant l'arrêt ""Rue de Clermont""",Parts_img/img_myst_7,Img_lieux/la_ruche,Accomodation,"Student residence at Margny-les-Compiègnes, on the other side of the Pont Neuf, close to Benjamin Franklin.",
Peupliers,49.39625,2.790083,Résidence,0,Résidence située près d'Intermarché et de l'ensemble des bâtiments de PG,Ligne 5 arrêt Blaise Pascal,Parts_img/img_myst_8,Img_lieux/peupliers,Accomodation,Student residence close to the Intermarché and Pierre Guillaumat.,
Pierre Guillaumat 1 (PG1),49.40025,2.800056,Universite,0,"Batiment de TP, regroupe les salles avec les lettres : I, J, K et L (exemple : RJ207)",Ligne 5 arrêt Centre de Recherches (depuis BF : direction hôpital),Parts_img/img_myst_9,Img_lieux/PG,University,Lab building and other various class activities.,"Bus 5, Centre de Recherches stop. (From Benjamin Franklin: direction hôpital)"
Pierre Guillaumat 2 (PG2),49.400944,2.800389,Universite,0,"Batiment de TP, regroupe les salles avec les lettres : M, N et O (exemple : RO 227)",Ligne 5 arrêt Rostand (depuis BF : direction hôpital),,Img_lieux/PG,University,Lab building and other various class activities.,"Bus 5, Rostand stop. (from Benjamin Franklin: direction hôpital)"
